min_age,Minimum Play Time,Average Minimum Time,Average Maximum Time,Maximum Play Time
1,5,11,20,90
2,1,10,17,200
3,1,15,46464,63072000
4,1,16,20,1440
5,1,18,25,1920
6,1,21,27,999
7,1,24,42,40320
8,1,42,140,1576800
9,1,46,59,9600
10,1,41,56,10080
11,2,54,88,1800
12,1,86,134,84000
13,1,46,80,9999
14,1,87,137,60120
15,1,69,103,4320
16,1,79,30591,30000000
17,1,33,45670,15778800
18,1,59,92,6000
19,10,28,28,60
20,10,46,66,180
21,2,46,78,600
22,60,60,60,60
25,30,38,21,30
30,4,24,28,90
36,20,20,20,20
40,15,15,30,30
45,7,124,124,240
47,30,30,60,60
50,24,34,34,45
60,30,30,30,30
90,1,60,60,120
99,60,60,90,90
112,45,45,45,45
